Exchdt	Rmbusd
2016-12-30	6.937000
2016-12-29	6.949700
2016-12-28	6.949500
2016-12-27	6.946200
2016-12-26	6.945900
2016-12-23	6.946300
2016-12-22	6.943500
2016-12-21	6.948900
2016-12-20	6.946800
2016-12-19	6.931200
2016-12-16	6.950800
2016-12-15	6.928900
2016-12-14	6.902800
2016-12-13	6.893400
2016-12-12	6.908600
2016-12-09	6.897200
2016-12-08	6.873100
2016-12-07	6.880800
2016-12-06	6.857500
2016-12-05	6.887000
2016-12-02	6.879400
2016-12-01	6.895800
2016-11-30	6.886500
2016-11-29	6.888900
2016-11-28	6.904200
2016-11-25	6.916800
2016-11-24	6.908500
2016-11-23	6.890400
2016-11-22	6.877900
2016-11-21	6.898500
2016-11-18	6.879600
2016-11-17	6.869200
2016-11-16	6.859200
2016-11-15	6.849500
2016-11-14	6.829100
2016-11-11	6.811500
2016-11-10	6.788500
2016-11-09	6.783200
2016-11-08	6.781700
2016-11-07	6.772500
2016-11-04	6.751400
2016-11-03	6.749100
2016-11-02	6.756200
2016-11-01	6.773400
2016-10-31	6.764100
2016-10-28	6.785800
2016-10-27	6.773600
2016-10-26	6.770500
2016-10-25	6.774400
2016-10-24	6.769000
2016-10-21	6.755800
2016-10-20	6.731100
2016-10-19	6.732600
2016-10-18	6.730300
2016-10-17	6.737900
2016-10-14	6.715700
2016-10-13	6.729600
2016-10-12	6.725800
2016-10-11	6.709800
2016-10-10	6.700800
2016-09-30	6.677800
2016-09-29	6.670000
2016-09-28	6.668100
2016-09-27	6.664600
2016-09-26	6.674400
2016-09-23	6.667000
2016-09-22	6.651300
2016-09-21	6.673800
2016-09-20	6.659500
2016-09-19	6.678600
2016-09-14	6.689500
2016-09-13	6.672600
2016-09-12	6.690800
2016-09-09	6.668400
2016-09-08	6.662000
2016-09-07	6.655500
2016-09-06	6.667600
2016-09-05	6.687300
2016-09-02	6.672700
2016-09-01	6.678400
2016-08-31	6.690800
2016-08-30	6.681200
2016-08-29	6.685600
2016-08-26	6.648800
2016-08-25	6.660200
2016-08-24	6.642000
2016-08-23	6.658600
2016-08-22	6.665200
2016-08-19	6.621100
2016-08-18	6.627300
2016-08-17	6.605600
2016-08-16	6.630500
2016-08-15	6.643000
2016-08-12	6.654300
2016-08-11	6.625500
2016-08-10	6.653000
2016-08-09	6.659400
2016-08-08	6.661500
2016-08-05	6.640600
2016-08-04	6.644400
2016-08-03	6.619500
2016-08-02	6.645100
2016-08-01	6.627700
2016-07-29	6.651100
2016-07-28	6.659700
2016-07-27	6.667100
2016-07-26	6.677800
2016-07-25	6.686000
2016-07-22	6.666900
2016-07-21	6.687200
2016-07-20	6.694600
2016-07-19	6.697100
2016-07-18	6.696100
2016-07-15	6.680500
2016-07-14	6.684600
2016-07-13	6.689100
2016-07-12	6.695000
2016-07-11	6.684300
2016-07-08	6.685300
2016-07-07	6.682000
2016-07-06	6.685700
2016-07-05	6.659400
2016-07-04	6.647200
2016-07-01	6.649600
2016-06-30	6.631200
2016-06-29	6.632400
2016-06-28	6.652800
2016-06-27	6.637500
2016-06-24	6.577600
2016-06-23	6.565800
2016-06-22	6.593500
2016-06-21	6.565600
2016-06-20	6.570800
2016-06-17	6.579500
2016-06-16	6.573900
2016-06-15	6.600100
2016-06-14	6.579100
2016-06-13	6.580500
2016-06-08	6.559300
2016-06-07	6.561800
2016-06-06	6.549700
2016-06-03	6.579300
2016-06-02	6.568800
2016-06-01	6.588900
2016-05-31	6.579000
2016-05-30	6.578400
2016-05-27	6.549000
2016-05-26	6.555200
2016-05-25	6.569300
2016-05-24	6.546800
2016-05-23	6.545500
2016-05-20	6.551000
2016-05-19	6.553100
2016-05-18	6.521600
2016-05-17	6.520000
2016-05-16	6.534300
2016-05-13	6.524600
2016-05-12	6.495900
2016-05-11	6.520900
2016-05-10	6.523300
2016-05-09	6.510500
2016-05-06	6.520200
2016-05-05	6.512800
2016-05-04	6.494300
2016-05-03	6.456500
2016-04-29	6.458900
2016-04-28	6.495400
2016-04-27	6.483700
2016-04-26	6.488200
2016-04-25	6.512000
2016-04-22	6.489800
2016-04-21	6.480300
2016-04-20	6.457900
2016-04-19	6.470000
2016-04-18	6.478700
2016-04-15	6.490800
2016-04-14	6.489100
2016-04-13	6.459100
2016-04-12	6.461600
2016-04-11	6.464900
2016-04-08	6.473300
2016-04-07	6.470700
2016-04-06	6.475400
2016-04-05	6.466300
2016-04-01	6.458500
2016-03-31	6.461200
2016-03-30	6.484100
2016-03-29	6.506000
2016-03-28	6.523200
2016-03-25	6.522300
2016-03-24	6.515000
2016-03-23	6.493600
2016-03-22	6.497100
2016-03-21	6.482400
2016-03-18	6.462800
2016-03-17	6.496100
2016-03-16	6.517200
2016-03-15	6.507900
2016-03-14	6.491300
2016-03-11	6.490500
2016-03-10	6.512700
2016-03-09	6.510600
2016-03-08	6.504100
2016-03-07	6.511300
2016-03-04	6.528400
2016-03-03	6.541200
2016-03-02	6.549000
2016-03-01	6.538500
2016-02-29	6.545200
2016-02-26	6.533800
2016-02-25	6.531800
2016-02-24	6.530200
2016-02-23	6.527300
2016-02-22	6.516500
2016-02-19	6.518600
2016-02-18	6.515200
2016-02-17	6.523700
2016-02-16	6.513000
2016-02-15	6.511800
2016-02-05	6.531400
2016-02-04	6.541900
2016-02-03	6.552100
2016-02-02	6.551000
2016-02-01	6.553900
2016-01-29	6.551600
2016-01-28	6.552800
2016-01-27	6.553300
2016-01-26	6.554800
2016-01-25	6.555700
2016-01-22	6.557200
2016-01-21	6.558500
2016-01-20	6.557800
2016-01-19	6.559600
2016-01-18	6.559000
2016-01-15	6.563700
2016-01-14	6.561600
2016-01-13	6.563000
2016-01-12	6.562800
2016-01-11	6.562600
2016-01-08	6.563600
2016-01-07	6.564600
2016-01-06	6.531400
2016-01-05	6.516900
2016-01-04	6.503200
2015-12-31	6.493600
2015-12-30	6.489500
2015-12-29	6.486400
2015-12-28	6.475000
2015-12-25	6.471300
2015-12-24	6.475500
2015-12-23	6.473100
2015-12-22	6.474600
2015-12-21	6.475300
2015-12-18	6.481400
2015-12-17	6.475700
2015-12-16	6.462600
2015-12-15	6.455900
2015-12-14	6.449500
2015-12-11	6.435800
2015-12-10	6.423600
2015-12-09	6.414000
2015-12-08	6.407800
2015-12-07	6.398500
2015-12-04	6.385100
2015-12-03	6.398200
2015-12-02	6.395800
2015-12-01	6.397300
2015-11-30	6.396200
2015-11-27	6.391500
2015-11-26	6.389600
2015-11-25	6.387700
2015-11-24	6.388800
2015-11-23	6.386700
2015-11-20	6.378000
2015-11-19	6.379100
2015-11-18	6.379600
2015-11-17	6.374000
2015-11-16	6.375000
2015-11-13	6.365500
2015-11-12	6.362800
2015-11-11	6.361400
2015-11-10	6.360200
2015-11-09	6.357800
2015-11-06	6.345900
2015-11-05	6.338100
2015-11-04	6.334300
2015-11-03	6.331000
2015-11-02	6.315400
2015-10-30	6.349500
2015-10-29	6.359600
2015-10-28	6.353600
2015-10-27	6.349400
2015-10-26	6.354900
2015-10-23	6.359500
2015-10-22	6.349700
2015-10-21	6.347300
2015-10-20	6.361400
2015-10-19	6.352700
2015-10-16	6.343600
2015-10-15	6.340200
2015-10-14	6.340800
2015-10-13	6.323100
2015-10-12	6.340600
2015-10-09	6.349300
2015-10-08	6.350500
2015-09-30	6.361300
2015-09-29	6.366000
2015-09-28	6.372900
2015-09-25	6.378500
2015-09-24	6.379100
2015-09-23	6.377300
2015-09-22	6.372100
2015-09-21	6.367600
2015-09-18	6.360700
2015-09-17	6.367000
2015-09-16	6.371200
2015-09-15	6.366500
2015-09-14	6.370900
2015-09-11	6.371900
2015-09-10	6.377200
2015-09-09	6.363200
2015-09-08	6.363900
2015-09-07	6.358400
2015-09-02	6.361900
2015-09-01	6.375200
2015-08-31	6.389300
2015-08-28	6.398600
2015-08-27	6.408500
2015-08-26	6.404300
2015-08-25	6.398700
2015-08-24	6.386200
2015-08-21	6.386400
2015-08-20	6.391500
2015-08-19	6.396300
2015-08-18	6.396600
2015-08-17	6.396900
2015-08-14	6.397500
2015-08-13	6.401000
2015-08-12	6.330600
2015-08-11	6.229800
2015-08-10	6.116200
2015-08-07	6.117400
2015-08-06	6.118100
2015-08-05	6.117700
2015-08-04	6.117700
2015-08-03	6.116900
2015-07-31	6.117200
2015-07-30	6.116500
2015-07-29	6.115000
2015-07-28	6.115400
2015-07-27	6.117600
2015-07-24	6.116900
2015-07-23	6.117200
2015-07-22	6.116800
2015-07-21	6.119900
2015-07-20	6.119700
2015-07-17	6.119200
2015-07-16	6.117300
2015-07-15	6.115200
2015-07-14	6.116500
2015-07-13	6.113300
2015-07-10	6.115300
2015-07-09	6.115100
2015-07-08	6.117500
2015-07-07	6.116600
2015-07-06	6.117200
2015-07-03	6.116000
2015-07-02	6.117100
2015-07-01	6.114900
2015-06-30	6.113600
2015-06-29	6.116800
2015-06-26	6.113700
2015-06-25	6.114800
2015-06-24	6.114200
2015-06-23	6.111900
2015-06-19	6.110400
2015-06-18	6.112600
2015-06-17	6.115800
2015-06-16	6.115500
2015-06-15	6.116900
2015-06-12	6.116700
2015-06-11	6.115000
2015-06-10	6.117300
2015-06-09	6.117900
2015-06-08	6.120500
2015-06-05	6.118100
2015-06-04	6.116400
2015-06-03	6.117600
2015-06-02	6.122500
2015-06-01	6.120700
2015-05-29	6.119600
2015-05-28	6.120200
2015-05-27	6.119800
2015-05-26	6.117200
2015-05-25	6.116500
2015-05-22	6.113100
2015-05-21	6.113900
2015-05-20	6.112500
2015-05-19	6.109800
2015-05-18	6.107900
2015-05-15	6.108500
2015-05-14	6.109300
2015-05-13	6.112300
2015-05-12	6.115500
2015-05-11	6.113200
2015-05-08	6.114700
2015-05-07	6.111300
2015-05-06	6.115600
2015-05-05	6.118000
2015-05-04	6.116500
2015-04-30	6.113700
2015-04-29	6.116900
2015-04-28	6.120900
2015-04-27	6.122000
2015-04-24	6.124100
2015-04-23	6.128100
2015-04-22	6.129000
2015-04-21	6.128000
2015-04-20	6.125500
2015-04-17	6.126700
2015-04-16	6.130500
2015-04-15	6.134000
2015-04-14	6.140700
2015-04-13	6.139500
2015-04-10	6.137000
2015-04-09	6.133800
2015-04-08	6.134500
2015-04-07	6.130500
2015-04-03	6.134800
2015-04-02	6.139600
2015-04-01	6.143400
2015-03-31	6.142200
2015-03-30	6.140200
2015-03-27	6.139700
2015-03-26	6.137500
2015-03-25	6.141000
2015-03-24	6.139800
2015-03-23	6.144800
2015-03-20	6.149600
2015-03-19	6.146000
2015-03-18	6.155600
2015-03-17	6.158500
2015-03-16	6.161500
2015-03-13	6.158800
2015-03-12	6.161700
2015-03-11	6.159700
2015-03-10	6.157200
2015-03-09	6.156300
2015-03-06	6.153300
2015-03-05	6.152800
2015-03-04	6.152500
2015-03-03	6.154300
2015-03-02	6.151300
2015-02-27	6.147500
2015-02-26	6.137900
2015-02-25	6.138400
2015-02-17	6.133000
2015-02-16	6.127300
2015-02-13	6.128800
2015-02-12	6.133300
2015-02-11	6.131500
2015-02-10	6.129500
2015-02-09	6.131100
2015-02-06	6.126100
2015-02-05	6.136600
2015-02-04	6.131800
2015-02-03	6.136900
2015-02-02	6.138500
2015-01-30	6.137000
2015-01-29	6.133500
2015-01-28	6.128200
2015-01-27	6.136400
2015-01-26	6.138400
2015-01-23	6.134200
2015-01-22	6.124700
2015-01-21	6.126800
2015-01-20	6.122600
2015-01-19	6.123000
2015-01-16	6.118800
2015-01-15	6.119300
2015-01-14	6.120500
2015-01-13	6.119500
2015-01-12	6.123300
2015-01-09	6.129600
2015-01-08	6.130200
2015-01-07	6.126900
2015-01-06	6.125600
2015-01-05	6.124800
2014-12-31	6.119000
2014-12-30	6.122400
2014-12-29	6.120500
2014-12-26	6.118600
2014-12-25	6.121300
